full_title,abbrev,page_key,source_url
'92 ELECTROWEAK INTERACTIONS AND UNIFIED THEORIES,MORIOND PAR,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
'93 ELECTROWEAK INTERACTIONS AND UNIFIED THEORIES,MORIOND PAR,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
'94 ELECTROWEAK INTERACTIONS AND UNIFIED THEORIES,MORIOND PAR,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
'95 ELECTROWEAK INTERACTIONS AND UNIFIED THEORIES,MORIOND PAR,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
'95 QCD AND HIGH ENERGY HADRONIC INTERACTIONS,MORIOND PAR,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"'96 CHINA-JAPAN SYMPOSIUM ON PARTICUOLOGY, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"'97 NANJING INTERNATIONAL SYMPOSIUM ON HIGH YIELD PULPING, PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"'99 INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE & ENGINEERING, PROCEEDINGS, VOLS 1 AND 2",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"100 PLUS YEARS OF PLASTICS, LEO BAEKELAND AND BEYOND",ACS SYM SER,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"100 YEARS ISPRS ADVANCING REMOTE SENSING SCIENCE, PT 1",INT ARCH PHOTOGRAMM,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"100 YEARS ISPRS ADVANCING REMOTE SENSING SCIENCE, PT 2",INT ARCH PHOTOGRAMM,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
101 EUROTHERM SEMINAR - TRANSPORT PHENOMENA IN MULTIPHASE SYSTEMS,MATEC WEB CONF,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH ACM CONFERENCE ON ELECTRONIC COMMERCE - EC 2009,NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
10TH ANGLO-FRENCH PHYSICAL ACOUSTICS CONFERENCE AFPAC 2011,J PHYS CONF SER,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH ANNIVERSARY, IMTC/94 - ADVANCED TECHNOLOGIES IN I & M, CONFERENCE PROCEEDINGS, VOLS 1-3 AND SUPPLEMENT",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH ANNUAL CONFERENCE 1989 - CANADIAN NUCLEAR SOCIETY, PROCEEDINGS VOL 3",P CAN NUC S,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH ANNUAL CONFERENCE 1989 - CANADIAN NUCLEAR SOCIETY, PROCEEDINGS, VOL 2",P CAN NUC S,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH ANNUAL IEEE SYMPOSIUM ON FIELD-PROGRAMMABLE CUSTOM COMPUTING MACHINES, PROCEEDINGS",ANN IEEE SYM FIELD P,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH ANNUAL IEEE SYMPOSIUM ON FIELD-PROGRAMMABLE CUSTOM COMPUTING MACHINES, PROCEEDINGS",PROC INT C TOOLS ART,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH ANNUAL INTERNATIONAL BRIDGE CONFERENCE, OFFICIAL PROCEEDINGS",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
"10TH ANNUAL REVIEW OF PROGRESS IN APPLIED COMPUTATIONAL ELECTROMAGNETICS, CONFERENCE PROCEEDINGS, VOL 1",NA,0-9,https://wos-help.webofscience.com/WOKRS535R111/help/WOS/0-9_abrvjt.html
